,Unnamed: 0,epoche,layer,accuracy,f1-score,task,model,random
0,0.0,0,0,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
1,1.0,0,1,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
2,2.0,0,2,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
3,3.0,0,3,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
4,4.0,0,4,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
5,5.0,0,5,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
6,6.0,0,6,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
7,7.0,100000,0,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
8,8.0,100000,1,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
9,9.0,100000,2,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
10,10.0,100000,3,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
11,11.0,100000,4,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
12,12.0,100000,5,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
13,13.0,100000,6,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
14,14.0,200000,0,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
15,15.0,200000,1,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
16,16.0,200000,2,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
17,17.0,200000,3,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
18,18.0,200000,4,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
19,19.0,200000,5,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
20,20.0,200000,6,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
21,21.0,300000,0,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
22,22.0,300000,1,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
23,23.0,300000,2,0.8127288578901483,0.4483455175067334,Person,t5,TRUE
