c1,c2,epoche,layer,accuracy,f1-score,task,model,random
,105,1000000,1,0.8231909328683522,0.3045267489711934,Person,t5,FALSE
,106,1000000,2,0.8242371403661726,0.3095890410958904,Person,t5,FALSE
,107,1000000,3,0.8228421970357455,0.2855133614627285,Person,t5,FALSE
,108,1000000,4,0.8228421970357455,0.2722063037249284,Person,t5,FALSE
,109,1000000,5,0.8193548387096774,0.261055634807418,Person,t5,FALSE
,110,1000000,6,0.8188317349607672,0.2377109317681585,Person,t5,FALSE
,111,1100000,0,0.8266782911944203,0.3144827586206897,Person,t5,FALSE
,112,1100000,1,0.8252833478639929,0.3146374829001368,Person,t5,FALSE
,113,1100000,2,0.8254577157802965,0.3034098816979819,Person,t5,FALSE
,114,1100000,3,0.8219703574542284,0.2894919972164231,Person,t5,FALSE
,115,1100000,4,0.821795989537925,0.2782485875706215,Person,t5,FALSE
,116,1100000,5,0.8195292066259808,0.267515923566879,Person,t5,FALSE
,117,1100000,6,0.8209241499564081,0.2595529920692141,Person,t5,FALSE
,0,0,0,0.621176813282843,0.610555978750205,Top constituents,t5,FALSE
,1,0,1,0.6454995630643752,0.6350153445997411,Top constituents,t5,FALSE
,2,0,2,0.6392368191086514,0.6278028247123173,Top constituents,t5,FALSE
,3,0,3,0.6351587532770172,0.6239126153292547,Top constituents,t5,FALSE
,4,0,4,0.6286047189047479,0.6176987556919024,Top constituents,t5,FALSE
,5,0,5,0.625691814739295,0.6142441927447712,Top constituents,t5,FALSE
,6,0,6,0.6111272939120302,0.6000378084756001,Top constituents,t5,FALSE
,7,20000,0,0.624089717448296,0.6135191328491619,Top constituents,t5,FALSE
,8,20000,1,0.6181182639091174,0.60553473755829,Top constituents,t5,FALSE
,9,20000,2,0.6233614914069328,0.6116413894134539,Top constituents,t5,FALSE
,10,20000,3,0.6012234197494902,0.5882581114682127,Top constituents,t5,FALSE
,11,20000,4,0.5830177687154092,0.5696132088664345,Top constituents,t5,FALSE
,12,20000,5,0.5713661520535974,0.5582263451156206,Top constituents,t5,FALSE
,13,20000,6,0.5503932420623362,0.5357624649681835,Top constituents,t5,FALSE
,14,40000,0,0.6329740751529275,0.6226624531420496,Top constituents,t5,FALSE
,15,40000,1,0.612875036411302,0.6012210986684381,Top constituents,t5,FALSE
,16,40000,2,0.6315176230702011,0.6206144271284261,Top constituents,t5,FALSE
,17,40000,3,0.6143314884940285,0.6034330220315341,Top constituents,t5,FALSE
,18,40000,4,0.605884066414215,0.5949836859551986,Top constituents,t5,FALSE
,19,40000,5,0.5987474512088552,0.5868284896693193,Top constituents,t5,FALSE
,20,40000,6,0.5747159918438683,0.5625326161670454,Top constituents,t5,FALSE
,21,60000,0,0.6389455286921061,0.6283587783224893,Top constituents,t5,FALSE
,22,60000,1,0.6221963297407516,0.6115016848234068,Top constituents,t5,FALSE
,23,60000,2,0.6232158461986601,0.6121261195947675,Top constituents,t5,FALSE
,24,60000,3,0.6047189047480338,0.5930687918873592,Top constituents,t5,FALSE
,25,60000,4,0.5894261578794058,0.5765184351593697,Top constituents,t5,FALSE
,26,60000,5,0.5774832508010487,0.564033223062605,Top constituents,t5,FALSE
,27,60000,6,0.5450043693562482,0.5298188726134749,Top constituents,t5,FALSE
,28,80000,0,0.6431692397320128,0.634105536621371,Top constituents,t5,FALSE
,29,80000,1,0.6249635886979319,0.6152550249296466,Top constituents,t5,FALSE
,30,80000,2,0.6195747159918439,0.6084291958225932,Top constituents,t5,FALSE
,31,80000,3,0.6055927759976697,0.594928332958785,Top constituents,t5,FALSE
,32,80000,4,0.5869501893387707,0.5740235360887159,Top constituents,t5,FALSE
,33,80000,5,0.5681619574715991,0.5544882194548449,Top constituents,t5,FALSE
,34,80000,6,0.5282551704048937,0.5133758794643588,Top constituents,t5,FALSE
,0,0,1,0.6456452082726478,0.6400962528366134,Top constituents,t5,FALSE
,1,0,2,0.6374890766093796,0.6317699630186688,Top constituents,t5,FALSE
,2,0,3,0.6245266530731141,0.6187924006117864,Top constituents,t5,FALSE
,3,0,4,0.623652781823478,0.6160024991317762,Top constituents,t5,FALSE
,4,0,5,0.6175356830760268,0.6082503226169306,Top constituents,t5,FALSE
,5,0,6,0.6054471307893969,0.5962024170716107,Top constituents,t5,FALSE
,6,100000,0,0.6351587532770172,0.6297800849201568,Top constituents,t5,FALSE
,7,100000,1,0.6179726187008447,0.6112138335958456,Top constituents,t5,FALSE
,8,100000,2,0.6048645499563065,0.5972116517882475,Top constituents,t5,FALSE
,9,100000,3,0.5684532478881444,0.5598548921587838,Top constituents,t5,FALSE
,10,100000,4,0.5524322749781532,0.5415012770924232,Top constituents,t5,FALSE
,11,100000,5,0.5311680745703466,0.5190506624219559,Top constituents,t5,FALSE
,12,100000,6,0.4890766093795514,0.4795342736751429,Top constituents,t5,FALSE
,13,200000,0,0.6523448878531897,0.6473199963854153,Top constituents,t5,FALSE
,14,200000,1,0.6379260122341975,0.63187336890935,Top constituents,t5,FALSE
,15,200000,2,0.6217593941159336,0.6144859486221672,Top constituents,t5,FALSE
,16,200000,3,0.6026798718322167,0.5955682863615894,Top constituents,t5,FALSE
,17,200000,4,0.5838916399650451,0.5738040543081745,Top constituents,t5,FALSE
,18,200000,5,0.5534517914360617,0.5434087740692389,Top constituents,t5,FALSE
,19,200000,6,0.5212642004078066,0.5117745351677023,Top constituents,t5,FALSE
,20,300000,0,0.6533644043110982,0.6495475803086046,Top constituents,t5,FALSE
,21,300000,1,0.6338479464025634,0.6260449462765444,Top constituents,t5,FALSE
,22,300000,2,0.6233614914069328,0.6167825968741032,Top constituents,t5,FALSE
,23,300000,3,0.6227789105738422,0.6142834852780934,Top constituents,t5,FALSE
,24,300000,4,0.5945237401689485,0.5857496354586297,Top constituents,t5,FALSE
,25,300000,5,0.5838916399650451,0.5759272809978339,Top constituents,t5,FALSE
,26,300000,6,0.5616079230993299,0.5515071990970255,Top constituents,t5,FALSE
,27,400000,0,0.6565685988930964,0.6516852360181851,Top constituents,t5,FALSE
,28,400000,1,0.6302068161957471,0.6250185245705289,Top constituents,t5,FALSE
,29,400000,2,0.6286047189047479,0.6220877249943888,Top constituents,t5,FALSE
,30,400000,3,0.6300611709874745,0.6225524487335814,Top constituents,t5,FALSE
,31,400000,4,0.5959801922516749,0.5895854021020376,Top constituents,t5,FALSE
,32,400000,5,0.5932129332944946,0.5831680410427158,Top constituents,t5,FALSE
,33,400000,6,0.5652490533061463,0.5546142815869357,Top constituents,t5,FALSE
,34,500000,0,0.6618118263909117,0.6570846310011984,Top constituents,t5,FALSE
,35,500000,1,0.6334110107777454,0.6306679941139658,Top constituents,t5,FALSE
,36,500000,2,0.6310806874453829,0.6256489651116308,Top constituents,t5,FALSE
,37,500000,3,0.6399650451500145,0.6322180943613533,Top constituents,t5,FALSE
,38,500000,4,0.5997669676667637,0.5948786729117195,Top constituents,t5,FALSE
,39,500000,5,0.5876784153801341,0.5796616926049295,Top constituents,t5,FALSE
,40,500000,6,0.5668511505971453,0.5597781423867566,Top constituents,t5,FALSE
,41,600000,0,0.6581706961840955,0.6531206325623532,Top constituents,t5,FALSE
,42,600000,1,0.6271482668220215,0.6208150819203981,Top constituents,t5,FALSE
,43,600000,2,0.6360326245266531,0.6291313717076149,Top constituents,t5,FALSE
,44,600000,3,0.6390911739003787,0.6322155747312789,Top constituents,t5,FALSE
,45,600000,4,0.6141858432857559,0.6069317223030792,Top constituents,t5,FALSE
,46,600000,5,0.6090882609962133,0.6030737114818663,Top constituents,t5,FALSE
,47,600000,6,0.5828721235071366,0.5746546811569186,Top constituents,t5,FALSE
,48,700000,0,0.6653073113894553,0.6610037691465885,Top constituents,t5,FALSE
,49,700000,1,0.6271482668220215,0.6206741828644933,Top constituents,t5,FALSE
,50,700000,2,0.6376347218176522,0.6287709074446587,Top constituents,t5,FALSE
,51,700000,3,0.6465190795222837,0.6416554012415651,Top constituents,t5,FALSE
,52,700000,4,0.626128750364113,0.6200701851193691,Top constituents,t5,FALSE
,53,700000,5,0.6147684241188465,0.6089145033902045,Top constituents,t5,FALSE
,54,700000,6,0.5836003495484998,0.5745517951892332,Top constituents,t5,FALSE
,55,800000,0,0.6637052140984562,0.6601330748943688,Top constituents,t5,FALSE
,56,800000,1,0.6281677832799301,0.6224836931577495,Top constituents,t5,FALSE
,57,800000,2,0.6479755316050102,0.6401232011089937,Top constituents,t5,FALSE
,58,800000,3,0.6504515001456452,0.642506200320778,Top constituents,t5,FALSE
,59,800000,4,0.6233614914069328,0.6138056558577983,Top constituents,t5,FALSE
,60,800000,5,0.6184095543256627,0.6130541938849641,Top constituents,t5,FALSE
,61,800000,6,0.5946693853772211,0.5859625665002413,Top constituents,t5,FALSE
,62,900000,0,0.6704048936789979,0.6657778299316062,Top constituents,t5,FALSE
,63,900000,1,0.6357413341101078,0.6295001099769467,Top constituents,t5,FALSE
,64,900000,2,0.6529274686862803,0.6442594615796889,Top constituents,t5,FALSE
,65,900000,3,0.6500145645208273,0.6438471708276432,Top constituents,t5,FALSE
,66,900000,4,0.6302068161957471,0.6236671795770881,Top constituents,t5,FALSE
,67,900000,5,0.6251092339062044,0.6191696681619575,Top constituents,t5,FALSE
,68,900000,6,0.6093795514127586,0.6014024103815033,Top constituents,t5,FALSE
,69,1000000,0,0.6680745703466356,0.6627417219397465,Top constituents,t5,FALSE
,70,1000000,1,0.6415671424410136,0.6338704946989646,Top constituents,t5,FALSE
,71,1000000,2,0.6478298863967376,0.6422926767557191,Top constituents,t5,FALSE
,72,1000000,3,0.6583163413923682,0.6529934725571132,Top constituents,t5,FALSE
,73,1000000,4,0.636906495776289,0.6326032093094078,Top constituents,t5,FALSE
,74,1000000,5,0.6258374599475677,0.621396350458935,Top constituents,t5,FALSE
,75,1000000,6,0.6141858432857559,0.6084122396725657,Top constituents,t5,FALSE
,76,1100000,0,0.6655986018060006,0.6604299795091264,Top constituents,t5,FALSE
,77,1100000,1,0.6428779493154675,0.6384980245115167,Top constituents,t5,FALSE
,78,1100000,2,0.6648703757646374,0.6594628316230292,Top constituents,t5,FALSE
,79,1100000,3,0.6676376347218177,0.6611708094120462,Top constituents,t5,FALSE
,80,1100000,4,0.6471016603553743,0.6403785787175398,Top constituents,t5,FALSE
,81,1100000,5,0.6390911739003787,0.6322753456842872,Top constituents,t5,FALSE
,82,1100000,6,0.6172443926594815,0.6112877655842738,Top constituents,t5,FALSE
,0,0,0,0.7037673334151429,0.7036786193300065,Subject number,t5,FALSE
,1,0,1,0.7199656399558227,0.7198793801416907,Subject number,t5,FALSE
,2,0,2,0.7124800589029329,0.7124384703029283,Subject number,t5,FALSE
